draft_year,rnd,pick,tm,player,pos,g,search_key,id,year_signed,signing_tm,value,value_norm,gtd,gtd_norm
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2005.0,Titans,9750010.0,0.11403520467836258,710010.0,0.008304210526315789
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2003.0,Bills,1882000.0,0.025090991507459304,300000.0,0.00399962670150786
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2008.0,Broncos,4400000.0,0.03793103448275862,0.0,0.0
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2006.0,Titans,820000.0,0.00803921568627451,235000.0,0.002303921568627451
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2001.0,Bills,2294000.0,0.03403308359913953,980000.0,0.014538980787775388
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2011.0,Bears,6250000.0,0.05192107995846314,0.0,0.0
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2005.0,Bears,9500000.0,0.1111111111111111,3725000.0,0.0435672514619883
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2014.0,Bears,1500000.0,0.011278195488721804,100000.0,0.0007518796992481203
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2014.0,Bears,1210000.0,0.009097744360902256,75000.0,0.0005639097744360903
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2004.0,Falcons,628000.0,0.007793303715469956,0.0,0.0
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2005.0,Bears,590000.0,0.006900584795321637,0.0,0.0
2001,4.0,99.0,ATL,Roberto Garza,G,206.0,"Roberto Garza, G",316,2001.0,Falcons,1226000.0,0.01818856167940064,330000.0,0.0048957792448631405
2001,4.0,100.0,CIN,Rudi Johnson,RB,95.0,"Rudi Johnson, RB",317,2005.0,Bengals,6323000.0,0.073953216374269,6323000.0,0.073953216374269
